Rating,DISA [K],Altitude [ft],Mach,Thrust [N],Fuel Flow [kg/s],SFC [kg/s/N]
55,0,0,0,146789.0547,1.311808374,8.94E-06
50,0,0,0,123015.296,1.061012834,8.63E-06
45,0,0,0,113374.5878,0.959310504,8.46E-06
40,0,0,0,102871.0644,0.860500405,8.36E-06
21,0,0,0,4798.962098,0.089272597,1.86E-05
55,0,0,0.1,137276.6989,1.38101255,1.01E-05
50,0,0,0.1,112304.9825,1.074778741,9.57E-06
45,0,0,0.1,102796.1921,0.970407926,9.44E-06
40,0,0,0.1,92670.596,0.869591478,9.38E-06
21,0,0,0.1,2691.839777,0.088656074,3.29E-05
55,0,0,0.2,126908.659,1.365283793,1.08E-05
50,0,0,0.2,102521.6602,1.083720046,1.06E-05
45,0,0,0.2,93454.97326,0.979039254,1.05E-05
40,0,0,0.2,83696.60823,0.87606902,1.05E-05
21,0,0,0.2,1304.918436,0.086559894,6.63E-05
55,0,0,0.3,119494.5122,1.400138782,1.17E-05
50,0,0,0.3,94182.30477,1.095445,1.16E-05
45,0,0,0.3,85536.32921,0.991369724,1.16E-05
40,0,0,0.3,76159.45685,0.885909126,1.16E-05
21,0,0,0.3,228.1823785,0.084463714,0.000370159
55,0,0,0.4,112080.3654,1.423669729,1.27E-05
50,0,0,0.4,87304.74323,1.11184348,1.27E-05
45,0,0,0.4,78901.21154,1.006166287,1.28E-05
40,0,0,0.4,69745.39089,0.895991065,1.28E-05
21,0,0,0.4,-791.5077907,0.083107362,-0.000104999
55,0,0,0.5,104666.2186,1.438898037,1.37E-05
50,0,0,0.5,81628.70487,1.132983439,1.39E-05
45,0,0,0.5,73378.48334,1.023428944,1.39E-05
40,0,0,0.5,64443.71439,0.91022972,1.41E-05
21,0,0,0.5,-1786.24065,0.082860753,-4.64E-05
50,0,0,0.6,76854.70023,1.156578149,1.50E-05
45,0,0,0.6,68622.30548,1.041924647,1.52E-05
40,0,0,0.6,59965.63381,0.926029128,1.54E-05
21,0,0,0.6,-2780.973509,0.082614144,-2.97E-05
50,0,0,0.7,72704.63201,1.184628598,1.63E-05
45,0,0,0.7,64707.55032,1.066585586,1.65E-05
40,0,0,0.7,55926.09152,0.943565967,1.69E-05
21,0,0,0.7,-3775.706368,0.082367534,-2.18E-05
50,0,0,0.8,68554.56379,1.205668496,1.76E-05
45,0,0,0.8,60792.79516,1.086384253,1.79E-05
40,0,0,0.8,51886.54922,0.95418066,1.84E-05
21,0,0,0.8,-4770.439227,0.082120925,-1.72E-05
50,0,0,0.9,64404.49557,1.216107041,1.89E-05
45,0,0,0.9,56878.04,1.101320649,1.94E-05
40,0,0,0.9,47847.00692,0.959199055,2.00E-05
21,0,0,0.9,-5765.172086,0.081874315,-1.42E-05
50,0,0,1,60254.42735,1.227120328,2.04E-05
45,0,0,1,52963.28484,1.107722515,2.09E-05
40,0,0,1,43807.46462,0.957292584,2.19E-05
21,0,0,1,-6759.904946,0.081627706,-1.21E-05
55,0,5000,0,122644.4996,1.111918517,9.07E-06
50,0,5000,0,113110.7518,0.9927848,8.78E-06
45,0,5000,0,103623.3535,0.874230266,8.44E-06
40,0,5000,0,93558.36835,0.778471826,8.32E-06
21,0,5000,0,5308.807183,0.08594337,1.62E-05
55,0,5000,0.1,114447.7582,1.139247196,9.95E-06
50,0,5000,0.1,104553.91,1.013065781,9.69E-06
45,0,5000,0.1,94731.36882,0.887793782,9.37E-06
40,0,5000,0.1,84773.34414,0.787341296,9.29E-06
21,0,5000,0.1,3262.29587,0.085450152,2.62E-05
55,0,5000,0.2,106251.0169,1.153305482,1.09E-05
50,0,5000,0.2,96228.81609,1.022657622,1.06E-05
45,0,5000,0.2,86545.32357,0.896425111,1.04E-05
40,0,5000,0.2,77072.18666,0.795182661,1.03E-05
