Time,Altitude,Distance,GW,Fuel,Mach,TAS,CAS,EAS,SEP,ROC,Flight Path Angle,Energy Sharing Factor,SAR,ESAR,Delta-ISA,CL,CL Max,CD,L/D,Alpha,SOC,Total Thrust,Max Total Thrust,Total Fuelflow,SFC,Total Propulsive Power,Total Shaft Power,Total Electric Power
0,0,0,89076,0,0.07347,48.6,48.6,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6502,6502,761.2,32.5199084,162.5,0,0
6,0,4.86,89000,76.12,0.07347,48.6,48.6,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6502,6502,761.2,32.5199084,162.5,0,0
6,0,0,89000,76.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293578,293578,9442,8.933836247,0,0,0
6.373,0,0.6822,88938,138.1,0.2559,169.3,169.3,169.3,0,0,0,0,0,0,0,0,0,0,0,0,0,245526,245526,9976,11.28642633,21382,0,0
6.475,35,0.9623,88921,155.1,0.2559,169.3,169.3,169.3,0,0,0,0,0,0,0,0,0,0,0,0,0,245526,245526,9976,11.28642633,21382,0,0
7.486,1500,4.542,88753,323.3,0.388,255.3,250,249.8,0,0,0,0,0,0,0,0,0,0,0,0,0,214870,214870,9706,12.54763862,28224,0,0
7.486,1500,0,88753,323.3,0.388,255.3,250,249.8,3058,2828,6.278,0.93448,0.03631,0.02305,0,0.70227,1.43939,0.04296,16.35,6.766,0,156179,156179,7033,12.50879511,20515,0,0
8.763,5000,5.54,88608,468.6,0.4129,268.4,250,249.1,2902,2658,5.611,0.92597,0.04046,0.02465,0,0.7046,1.44221,0.04322,16.3,6.731,0,146069,146069,6634,12.61580334,20169,0,0
10.76,9999,14.77,88397,679.1,0.4523,288.7,250,248.1,2606,2350,4.61,0.91208,0.04799,0.02766,0,0.70889,1.44564,0.04326,16.39,6.672,0,130175,130175,6015,12.83528583,19333,0,0
11.32,10001,17.71,88341,734.8,0.5411,345.4,300,296.8,2765,2399,3.934,0.87207,0.05653,0.0292,0,0.49502,1.41882,0.03133,15.8,4.158,0,123300,123300,6110,13.76498153,21908,0,0
