ID,ThrustSLS,WingSpan,WingSweep,WingTCR,MTOW,Range,TOFL,AppSpeed
1,24000,90,25,0.09,155892.5367,872.5704664,9263.170087,151.8466615
2,24000,90,25,0.093,156440.5733,908.5589418,9334.996302,152.1129248
3,24000,90,25,0.096,156999.1848,944.0035721,9408.870861,152.3842668
4,24000,90,25,0.099,157567.2991,978.7663645,9484.697284,152.6597303
5,24000,90,25,0.102,158144.0672,1012.162077,9562.405706,152.9388823
6,24000,90,25,0.105,158728.737,1043.878328,9641.936864,153.2213396
7,24000,90,25,0.108,159320.6407,1074.552641,9723.240646,153.5067622
8,24000,90,25,0.111,159919.1825,1103.657211,9806.274876,153.7948471
9,24000,90,25,0.114,160523.8297,1131.000057,9891.00431,154.0853236
10,24000,90,25,0.117,161134.1043,1156.76489,9977.399786,154.3779493
11,24000,90,26,0.09,155963.8475,869.3006043,9272.480032,151.8817021
12,24000,90,26,0.093,156509.8641,905.2317614,9344.123267,152.1466061
13,24000,90,26,0.096,157066.6606,940.6759728,9417.840015,152.4170074
14,24000,90,26,0.099,157633.0698,975.4393166,9493.521435,152.691586
15,24000,90,26,0.102,158208.2328,1009.33079,9571.096519,152.9699039
16,24000,90,26,0.105,158791.3892,1041.950989,9650.505007,153.2515738
17,24000,90,26,0.108,159381.8633,1073.228966,9731.695903,153.5362516
18,24000,90,26,0.111,159979.0525,1103.038853,9814.626254,153.8236311
19,24000,90,26,0.114,160582.4182,1131.232437,9899.260127,154.1134384
20,24000,90,26,0.117,161191.477,1157.447599,9985.567745,154.4054285
21,24000,90,27,0.09,156041.5891,865.3715673,9282.64181,151.9195547
22,24000,90,27,0.093,156585.4896,901.1632824,9354.096418,152.183358
23,24000,90,27,0.096,157140.3046,936.5852301,9427.640359,152.4527329
24,24000,90,27,0.099,157704.852,971.3594076,9503.162995,152.7263458
25,24000,90,27,0.102,158278.2624,1005.404712,9580.592068,153.0037534
26,24000,90,27,0.105,158859.7662,1038.906327,9659.866223,153.2845638
27,24000,90,27,0.108,159448.6793,1070.904877,9740.933498,153.5684288
28,24000,90,27,0.111,160044.3918,1101.506464,9823.75009,153.8550383
29,24000,90,27,0.114,160646.3582,1130.609405,9908.279306,154.1441153
30,24000,90,27,0.117,161254.0893,1157.871203,9994.490698,154.4354117
31,24000,90,28,0.09,156126.1917,861.9991006,9293.714977,151.9607374
32,24000,90,28,0.093,156667.7885,897.6592079,9364.963592,152.223343
33,24000,90,28,0.096,157220.4461,933.0206365,9438.318823,152.491601
34,24000,90,28,0.099,157782.9666,967.8305837,9513.668061,152.7641631
35,24000,90,28,0.102,158354.4692,1001.922397,9590.937686,153.0405802
36,24000,90,28,0.105,158934.1739,1035.590888,9670.065142,153.3204553
37,24000,90,28,0.108,159521.3875,1068.607892,9750.997417,153.6034358
38,24000,90,28,0.111,160115.4923,1099.782117,9833.689771,153.8892076
39,24000,90,28,0.114,160715.9355,1129.570821,9918.104688,154.1774899
40,24000,90,28,0.117,161322.2213,1157.691232,10004.21098,154.4680315
41,24000,90,29,0.09,156218.0358,858.4810659,9305.753182,152.0054324
42,24000,90,29,0.093,156757.1309,894.003015,9376.777345,152.2667382
43,24000,90,29,0.096,157307.4457,929.2289671,9449.926961,152.533784
44,24000,90,29,0.099,157867.7651,964.0759502,9525.087271,152.8052055
45,24000,90,29,0.102,158437.1958,998.2483844,9602.183165,153.0805476
46,24000,90,29,0.105,159014.9466,1031.954257,9681.150783,153.3594077
47,24000,90,29,0.108,159600.3149,1065.358892,9761.935961,153.6414282
48,24000,90,29,0.111,160192.6737,1097.497661,9844.492945,153.9262906
49,24000,90,29,0.114,160791.4626,1127.916566,9928.783316,154.2137104
50,24000,90,29,0.117,161396.1788,1156.806584,10014.77509,154.5034325
51,24000,90,30,0.09,156317.5377,854.7315315,9318.815406,152.0538393
52,24000,90,30,0.093,156853.9217,890.1829549,9389.595448,152.3137372
53,24000,90,30,0.096,157401.6976,925.3002343,9462.521438,152.5794702
54,24000,90,30,0.099,157959.6316,960.1040859,9537.476273,152.8496564
55,24000,90,30,0.102,158526.8169,994.3306617,9614.383223,153.1238342
56,24000,90,30,0.105,159102.4504,1028.131965,9693.177006,153.4015948
57,24000,90,30,0.108,159685.8186,1061.550798,9773.802204,153.6825756
58,24000,90,30,0.111,160276.2854,1094.42101,9856.211958,153.9664531
59,24000,90,30,0.114,160873.2816,1125.645076,9940.366867,154.2529386
60,24000,90,30,0.117,161476.2968,1155.247576,10026.23407,154.5417733
61,24000,90,31,0.09,156425.153,850.874489,9332.966534,152.1061759
62,24000,90,31,0.093,156958.6039,886.1611232,9403.481447,152.3645518
63,24000,90,31,0.096,157503.6331,921.2023087,9476.164576,152.6288654
64,24000,90,31,0.099,158058.9865,955.8869895,9550.896268,152.8977162
65,24000,90,31,0.102,158623.7426,990.1648786,9627.598029,153.1706351
66,24000,90,31,0.105,159197.0855,1024.042606,9706.20303,153.4472071
67,24000,90,31,0.108,159778.29,1057.540021,9786.654493,153.7270636
68,24000,90,31,0.111,160366.7098,1090.515347,9868.904354,154.0098762
69,24000,90,31,0.114,160961.7665,1122.730016,9952.912148,154.2953516
70,24000,90,31,0.117,161562.9415,1152.987838,10038.64407,154.5832267
71,24000,90,32,0.09,156541.3804,846.8540619,9348.278003,152.1626807
72,24000,90,32,0.093,157071.6626,881.9989314,9418.505296,152.4194135
73,24000,90,32,0.096,157613.7245,916.8691529,9490.924975,152.6821949
74,24000,90,32,0.099,158166.2901,951.4753607,9565.414612,152.949604
75,24000,90,32,0.102,158728.422,985.7350066,9641.893796,153.2211638
76,24000,90,32,0.105,159299.2902,1019.686714,9720.29402,153.4964526
77,24000,90,32,0.108,159878.1573,1053.248873,9800.557026,153.7750953
78,24000,90,32,0.111,160464.3657,1086.225535,9882.633445,154.0567583
79,24000,90,32,0.114,161057.3272,1118.617261,9966.481652,154.341143
80,24000,90,32,0.117,161656.514,1150.033127,10052.06681,154.6279821
81,24000,90,33,0.09,156666.7665,842.6816051,9364.828547,152.2236146
82,24000,90,33,0.093,157193.6295,877.6886919,9434.744083,152.4785758
83,24000,90,33,0.096,157732.4895,912.4002626,9506.878221,152.739705
84,24000,90,33,0.099,158282.0468,946.8847049,9581.105511,153.0055596
85,24000,90,33,0.102,158841.3469,981.0284052,9657.343466,153.275654
86,24000,90,33,0.105,159409.5449,1015.076069,9735.521754,153.549559
87,24000,90,33,0.108,159985.8897,1048.65642,9815.580512,153.8268931
88,24000,90,33,0.111,160569.7118,1081.696754,9897.468952,154.1073163
89,24000,90,33,0.114,161160.4124,1114.122509,9981.144195,154.3905249
90,24000,90,33,0.117,161757.454,1145.948819,10066.57029,154.6762468
91,24000,90,34,0.09,156801.9105,838.3562385,9382.705039,152.2892633
92,24000,90,34,0.093,157325.0874,873.2178683,9452.282857,152.5423161
93,24000,90,34,0.096,157860.4955,907.8011104,9524.107692,152.8016658
94,24000,90,34,0.099,158406.8096,942.0953374,9598.050816,153.0658458
95,24000,90,34,0.102,158963.0569,976.1440527,9674.027483,153.3343617
96,24000,90,34,0.105,159528.3761,1010.0583,9751.965382,153.606776
97,24000,90,34,0.108,160102.0017,1043.829507,9831.802912,153.8827002
98,24000,90,34,0.111,160683.2513,1076.910609,9913.487746,154.1617878
99,24000,90,34,0.114,161271.5144,1109.418835,9996.975641,154.4437295
100,24000,90,34,0.117,161866.2433,1141.299249,10082.22943,154.7282478
101,24000,94,25,0.09,159978.8728,1067.075586,8890.230405,147.2783057
102,24000,94,25,0.093,160619.773,1108.662539,8967.588871,147.5724796
103,24000,94,25,0.096,161271.7341,1149.375046,9047.069918,147.871684
104,24000,94,25,0.099,161933.5951,1189.119396,9128.582341,148.1748138
105,24000,94,25,0.102,162604.47,1226.809372,9212.065462,148.4814404
106,24000,94,25,0.105,163283.5742,1261.681232,9297.468681,148.7911846
107,24000,94,25,0.108,163970.2108,1295.075367,9384.750123,149.10371
108,24000,94,25,0.111,164663.7583,1326.27933,9473.875506,149.4187173
109,24000,94,25,0.114,165363.661,1354.78602,9564.817205,149.7359391
