Alt (m),Mach number,Throttle,Power (W),SFC (gr/MJ),PCN HP,PCN LP,PCN PT,Inlet airflow (kg/s),Fuel flow (kg/s),eta,ISA dev C,P3 (bar),T3 (K),FAR,Residual thrust (N),,,Power (kW)
0,0,0.05,100040,318.22,0.73,0.4,1,3.09,0.03,0.07,-10,4.69,493.82,0.01,332.19,,,100.04
0,0,0.1,200060,208.71,0.8,0.52,1,3.89,0.04,0.11,-10,6.1,535.76,0.01,527.39,,,200.06
0,0,0.15,300090,164.87,0.82,0.61,1,4.49,0.05,0.14,-10,7.15,557.75,0.01,699.07,,,300.09
0,0,0.2,400110,141.44,0.84,0.68,1,4.98,0.06,0.16,-10,8.03,573.74,0.01,858.67,,,400.11
0,0,0.26,500140,127.34,0.86,0.72,1,5.37,0.06,0.18,-10,8.79,587.88,0.01,1009.51,,,500.14
0,0,0.31,600170,117.51,0.87,0.77,1,5.72,0.07,0.2,-10,9.49,599.75,0.01,1156.89,,,600.17
0,0,0.36,700130,110.26,0.88,0.8,1,6.03,0.08,0.21,-10,10.13,609.78,0.01,1300.89,,,700.13
0,0,0.41,800040,104.7,0.89,0.83,1,6.33,0.08,0.22,-10,10.74,618.77,0.01,1445.72,,,800.04
0,0,0.46,900020,100.27,0.9,0.85,1,6.61,0.09,0.23,-10,11.31,626.66,0.02,1588.36,,,900.02
0,0,0.51,1000000,96.71,0.92,0.87,1,6.87,0.1,0.24,-10,11.86,634.14,0.02,1732.32,,,1000
0,0,0.56,1100000,93.78,0.93,0.89,1,7.12,0.1,0.25,-10,12.4,641.06,0.02,1878.66,,,1100
0,0,0.61,1200000,91.31,0.94,0.91,1,7.37,0.11,0.25,-10,12.94,647.2,0.02,2027.59,,,1200
0,0,0.66,1300000,89.2,0.95,0.92,1,7.62,0.12,0.26,-10,13.46,652.94,0.02,2180.15,,,1300
0,0,0.71,1400000,87.5,0.96,0.94,1,7.86,0.12,0.27,-10,13.98,658.75,0.02,2336.72,,,1400
0,0,0.77,1500000,86.2,0.96,0.95,1,8.08,0.13,0.27,-10,14.5,664.89,0.02,2497.75,,,1500
0,0,0.82,1600000,85.12,0.97,0.97,1,8.31,0.14,0.27,-10,15.01,670.95,0.02,2662.26,,,1600
0,0,0.87,1700000,84.31,0.98,0.98,1,8.52,0.14,0.28,-10,15.51,677.45,0.02,2828.48,,,1700
0,0,0.92,1800000,83.64,0.99,0.99,1,8.73,0.15,0.28,-10,16.01,683.77,0.02,2998.73,,,1800
0,0,0.97,1900000,83.11,1,1,1,8.93,0.16,0.28,-10,16.51,689.98,0.02,3175.35,,,1900
0,0,1.02,2000000,82.69,1,1.01,1,9.14,0.17,0.28,-10,17.01,696.15,0.02,3355.99,,,2000
0,0.1,0.05,100040,316.93,0.73,0.4,1,3.1,0.03,0.07,-10,4.7,493.87,0.01,229.05,,,100.04
0,0.1,0.1,200060,208.21,0.8,0.52,1,3.9,0.04,0.11,-10,6.1,535.95,0.01,397.85,,,200.06
0,0.1,0.15,300040,164.53,0.82,0.61,1,4.5,0.05,0.14,-10,7.15,557.96,0.01,549.03,,,300.04
0,0.1,0.2,400050,141.18,0.84,0.67,1,4.98,0.06,0.16,-10,8.04,573.94,0.01,693.23,,,400.05
0,0.1,0.25,500020,127.1,0.86,0.72,1,5.37,0.06,0.18,-10,8.79,588.02,0.01,830.46,,,500.02
0,0.1,0.3,600010,117.3,0.87,0.77,1,5.72,0.07,0.2,-10,9.49,599.9,0.01,966.01,,,600.01
