ID,WingArea,WingAspectRatio,Sweep,TaperRatio,Scale_MTO_new,Scale_MCL_new,Scale_MCR_new,BlockFuel,RampWeight,TakeoffFieldLength,LandingFieldLength,ClimbTime,ApproachSpeed,EndOfRunwayThrust,TopOfTheClimbThrust,MidCruiseThrust,Category
48,1201.942181,8.747578513,29.35024853,0.204726457,1.007969306,1.026362198,0.98033198,39896.6,154496,7689.25,6369,21.7,135.6,17489.868,5748,3698.666532,-1
11,1220.336114,8.145978589,27.32973653,0.255231467,0.993405701,1.032177788,1.011630537,40960.6,155573.7,7649.53,6337,21.6,135.1,17489.67444,5865.5,3801.330153,-1
97,1219.354467,8.700469527,25.87467409,0.232664573,0.962703601,1.002852209,1.017440912,39950.3,154592.9,7583.85,6316,20.6,134.7,17489.52609,5880.5,3700.435395,-1
25,1224.124476,8.568154371,26.72774523,0.280670622,0.954421801,1.04364377,1.023626706,40229,154879.7,7575.59,6308,18.6,134.6,17490.29468,6172.5,3729.934559,-1
45,1211.407529,9.991776158,29.25919111,0.217684991,1.018468621,1.004051308,0.978248854,38010.3,152600,7487.9,6292,21.6,134.3,17489.75,5565,3513.656392,-1
37,1224.484006,9.871531574,25.90713899,0.232627882,1.045209514,1.01925711,0.962316319,38073.8,152639.5,7407.09,6252,22.3,133.6,17490.09333,5505,3521.319601,-1
39,1217.77054,10.78065672,29.09186608,0.210322527,1.017957147,0.962163537,0.975232944,37035.2,151625.5,7377.76,6248,22.8,133.5,17489.62391,5335.5,3416.214344,-1
24,1233.16595,9.277289504,25.4648957,0.230610089,0.992082543,0.969856112,0.977536911,38895.5,153509.9,7416.11,6247,23,133.5,17489.69762,5518.5,3596.445601,-1
72,1211.606548,11.9307936,27.46146497,0.205448905,1.032972749,0.951053749,1.018238193,35931.6,150508.2,7337.05,6239,23,133.3,17490.707,5197.5,3307.691165,-1
30,1211.606548,11.9307936,27.46146497,0.205448905,1.032972749,0.951053749,0.993741448,35922.7,150499.3,7336.26,6239,23,133.3,17489.35,5197.5,3307.602043,-1
51,1243.232306,8.832007141,26.77760412,0.240030945,1.027030684,1.005997822,1.010989904,39503.4,154085.3,7392.97,6231,23.6,133.2,17489.89359,5529.5,3656.646576,-1
31,1243.232306,8.832007141,26.68395713,0.239795451,1.027030684,1.041437685,1.010989904,39497,154078.9,7392.4,6230,21.6,133.2,17489.99359,5724,3658.777308,-1
95,1243.232306,8.832007141,26.69930626,0.239795451,1.027030684,1.041437685,0.993296946,39489.4,154071.4,7391.74,6230,21.6,133.2,17490.04359,5724,3658.672709,-1
38,1236.739786,9.460749047,27.53287484,0.269967358,1.048014527,0.976097931,0.995458734,38641.4,153204.5,7371.3,6229,25.8,133.1,17489.46154,5257.5,3571.304228,-1
27,1237.015573,9.836172,28.80332736,0.235191774,0.98855585,1.044558232,1.03659031,38142.3,152760,7339.11,6217,18.7,132.9,17489.52564,5965,3525.753443,-1
20,1229.656903,10.72752601,27.13226012,0.26613445,1.04375499,0.977152226,1.011490339,37128.2,151695.1,7309.21,6213,23.5,132.9,17489.43605,5285,3425.046039,-1
26,1248.964629,9.073848378,29.56385131,0.295841608,0.993169885,0.999578244,0.986106711,39222.7,153836,7341.88,6207,21.8,132.8,17489.48714,5681.5,3629.874813,-1
16,1250.761148,9.132355346,26.81544023,0.296076566,0.99998833,1.047950026,0.959468081,39095.2,153702.1,7320.96,6199,19.7,132.6,17490.59545,5916,3621.675162,-1
18,1230.388042,11.2760221,29.17660817,0.253988343,0.966396844,1.003498697,0.956604924,36569.3,151208.3,7272.04,6199,18.2,132.6,17489.99545,5861.5,3372.681636,-1
22,1261.507037,8.493095259,26.92482758,0.209531143,0.998023206,0.972321975,0.962440245,39883.1,154491.8,7308.85,6186,24.4,132.4,17489.95172,5499.5,3692.57914,-1
