ID,SLST,BPR,OPR,FPR,SFC,T_EoR,T_ToC,T_MdC,Category
1,23728.11176,6.716466745,28.51958444,1.618871316,0.783,17415,3027,2131,-1
2,23502.34764,6.763590913,28.08396597,1.612703601,0.772,17283,3030,2126,-1
3,22965.69032,6.363763004,28.27935607,1.66613445,0.773,16985,3036,2187,-1
4,22464.29467,6.305661544,27.29797113,1.61512345,0.693,16890,3261,2336,-1
5,27267.57569,6.492903282,27.45582063,1.681900553,0.871,19856,3280,2384,-1
6,23011.20876,6.11310371,27.50715503,1.674513881,0.71,17301,3319,2407,-1
7,22488.04906,5.940342599,28.23926706,1.641731901,0.678,17031,3390,2471,-1
8,22840.77185,5.691098092,29.42011866,1.604421801,0.659,17386,3565,2643,-1
9,32183.45503,6.675467183,29.41197863,1.642478595,0.917,23128,3622,2598,-1
10,22919.47977,5.551499732,29.67721846,1.619431269,0.655,17499,3635,2712,-1
11,26534.21158,6.233673813,27.10434917,1.689228113,0.74,19814,3681,2681,-1
12,26534.21158,6.181029132,27.15906964,1.689574336,0.729,19869,3737,2725,-1
13,23316.59503,5.638644752,27.27893742,1.630610089,0.653,17865,3760,2799,-1
14,24020.13565,5.555112329,29.67721846,1.624920715,0.653,18340,3808,2842,-1
15,23274.73832,5.375217913,28.80474193,1.659857578,0.648,17891,3809,2867,-1
16,23688.80752,5.370155727,27.28897742,1.676066547,0.646,18276,3941,2967,-1
17,25076.11484,5.566177673,28.08926414,1.696076566,0.662,19187,3965,2949,-1
18,27038.35489,5.771117005,29.83674697,1.68659031,0.689,20428,4007,2959,-1
19,27038.35489,5.771117005,29.83674697,1.68659031,0.689,20428,4007,2959,-1
20,26327.3008,5.480890342,29.31569331,1.675218184,0.654,20150,4195,3142,-1
21,26327.3008,5.480890342,29.28765566,1.675218184,0.653,20152,4197,3143,-1
22,29421.97865,6.2296756,27.31744212,1.647745097,0.691,22138,4281,3099,-1
23,26849.12972,5.638644752,28.367089,1.630610089,0.65,20527,4283,3195,-1
24,28739.35934,6.150361406,27.20833879,1.612203843,0.669,21741,4324,3151,-1
25,29519.13118,6.222442414,28.18336367,1.601344861,0.674,22234,4342,3154,-1
26,36537.60931,6.469676086,28.24911142,1.680486456,0.872,26549,4349,3190,-1
27,27676.74436,5.543044511,28.84471018,1.681084268,0.656,21169,4387,3278,-1
28,30565.52627,6.34881824,27.92260556,1.612327381,0.687,22935,4401,3175,-1
29,30565.52627,6.34881824,27.92260556,1.612327381,0.687,22935,4401,3175,-1
30,27518.15579,5.420298912,29.86036981,1.647683034,0.646,21084,4438,3340,-1
31,36125.44363,6.430120693,29.00101811,1.672669127,0.831,26375,4440,3254,-1
32,27221.3422,5.370155727,28.377129,1.676066547,0.644,20956,4481,3380,-1
33,27221.3422,5.370155727,28.377129,1.676066547,0.644,20956,4481,3380,-1
34,27518.15579,5.22301702,29.86036981,1.647683034,0.639,21196,4581,3485,-1
35,31046.29345,5.868114023,29.46533363,1.661630537,0.675,23472,4639,3424,-1
36,31046.29345,5.868114023,29.46533363,1.661630537,0.675,23472,4639,3424,-1
37,32146.94934,5.986231463,29.46533363,1.66373677,0.69,24188,4680,3439,-1
38,33246.59773,6.346338544,27.45634726,1.655166468,0.711,24863,4682,3394,-1
39,27699.31031,5.190622855,28.44069618,1.622321975,0.639,21410,4713,3598,-1
40,27699.31031,5.190622855,28.44069618,1.622321975,0.639,21410,4713,3598,-1
41,33246.59773,6.346338544,27.45634726,1.648902138,0.705,24891,4713,3411,-1
42,28416.50868,5.397122241,27.82610734,1.612062238,0.642,21881,4742,3594,-1
